tpl,pta,ptd,arr_at,dep_at,arr_delay,dep_delay
IPSWICH,23:40:00,23:42:00,23:42:00,23:42:00,0.03333333333333333,0.0
STWMRKT,23:52:00,23:53:00,23:52:00,23:52:00,0.0,-0.016666666666666666
DISS,00:07:00,00:09:00,00:04:00,00:08:00,-0.05,-0.016666666666666666
NRCH,00:27:00,,00:24:00,,-0.05,
LIVST,,08:00:00,,07:59:00,,-0.016666666666666666
CLCHSTR,08:46:00,08:47:00,08:45:00,08:46:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,08:54:00,08:55:00,08:54:00,08:55:00,0.0,0.0
IPSWICH,09:05:00,09:06:00,09:05:00,09:05:00,0.0,-0.016666666666666666
DISS,09:25:00,09:26:00,09:24:00,09:25:00,-0.016666666666666666,-0.016666666666666666
NRCH,09:46:00,,09:42:00,,-0.06666666666666667,
LIVST,,09:00:00,,08:59:00,,-0.016666666666666666
CLCHSTR,09:47:00,09:47:00,,,,
MANNGTR,09:55:00,09:56:00,,,,
IPSWICH,10:06:00,10:08:00,,,,
DISS,10:27:00,10:28:00,,,,
NRCH,10:49:00,,,,,
LIVST,,06:25:00,,06:24:00,,-0.016666666666666666
STFD,,06:32:00,06:31:00,06:32:00,,0.0
CHLMSFD,06:56:00,06:57:00,06:56:00,06:57:00,0.0,0.0
WITHAME,07:06:00,07:07:00,07:06:00,07:06:00,0.0,-0.016666666666666666
CLCHSTR,07:18:00,07:19:00,07:17:00,07:18:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,07:27:00,07:27:00,07:25:00,07:27:00,-0.03333333333333333,0.0
IPSWICH,07:38:00,07:40:00,07:35:00,07:39:00,-0.05,-0.016666666666666666
STWMRKT,07:50:00,07:51:00,07:49:00,07:50:00,-0.016666666666666666,-0.016666666666666666
DISS,08:02:00,08:03:00,08:01:00,08:02:00,-0.016666666666666666,-0.016666666666666666
NRCH,08:23:00,,08:19:00,,-0.06666666666666667,
LIVST,,07:00:00,,06:59:00,,-0.016666666666666666
SHENFLD,,07:21:00,07:19:00,07:20:00,,-0.016666666666666666
CLCHSTR,07:46:00,07:46:00,07:43:00,07:45:00,-0.05,-0.016666666666666666
MANNGTR,07:55:00,07:55:00,07:52:00,07:55:00,-0.05,0.0
IPSWICH,08:06:00,08:07:00,08:03:00,08:06:00,-0.05,-0.016666666666666666
STWMRKT,08:17:00,08:18:00,08:17:00,08:17:00,0.0,-0.016666666666666666
DISS,08:29:00,08:30:00,08:28:00,08:30:00,-0.016666666666666666,0.0
NRCH,08:51:00,,08:46:00,,-0.08333333333333333,
LIVST,,07:30:00,,07:29:00,,-0.016666666666666666
STFD,,07:37:00,07:36:00,07:37:00,,0.0
CHLMSFD,07:58:00,07:59:00,07:58:00,07:59:00,0.0,0.0
CLCHSTR,08:21:00,08:22:00,08:20:00,08:21:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,08:30:00,08:30:00,08:28:00,08:30:00,-0.03333333333333333,0.0
IPSWICH,08:42:00,08:43:00,08:39:00,08:42:00,-0.05,-0.016666666666666666
STWMRKT,08:54:00,08:55:00,08:54:00,08:54:00,0.0,-0.016666666666666666
DISS,09:06:00,09:07:00,09:05:00,09:07:00,-0.016666666666666666,0.0
NRCH,09:25:00,,09:23:00,,-0.03333333333333333,
LIVST,,08:30:00,,08:30:00,,0.0
STFD,,08:37:00,08:37:00,08:38:00,,0.016666666666666666
CHLMSFD,08:59:00,09:01:00,08:59:00,09:01:00,0.0,0.0
CLCHSTR,09:20:00,09:21:00,09:19:00,09:21:00,-0.016666666666666666,0.0
MANNGTR,09:29:00,09:30:00,09:28:00,09:30:00,-0.016666666666666666,0.0
IPSWICH,09:41:00,09:43:00,09:39:00,09:42:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,09:53:00,09:53:00,09:52:00,09:52:00,-0.016666666666666666,-0.016666666666666666
DISS,10:04:00,10:05:00,10:04:00,10:05:00,0.0,0.0
NRCH,10:23:00,,10:21:00,,-0.03333333333333333,
LIVST,,09:30:00,,09:29:00,,-0.016666666666666666
STFD,,09:37:00,09:36:00,09:37:00,,0.0
CHLMSFD,10:02:00,10:02:00,10:11:00,10:12:00,0.15,0.16666666666666666
CLCHSTR,10:20:00,10:21:00,10:46:00,10:48:00,0.43333333333333335,0.45
MANNGTR,10:28:00,10:29:00,10:54:00,10:56:00,0.43333333333333335,0.45
IPSWICH,10:40:00,10:43:00,11:04:00,11:05:00,0.4,0.36666666666666664
STWMRKT,10:53:00,10:54:00,11:16:00,11:17:00,0.38333333333333336,0.38333333333333336
DISS,11:05:00,11:05:00,11:29:00,11:30:00,0.4,0.4166666666666667
NRCH,11:24:00,,11:46:00,,0.36666666666666664,
LIVST,,10:30:00,,10:29:00,,-0.016666666666666666
STFD,,10:37:00,10:36:00,10:37:00,,0.0
CHLMSFD,11:02:00,11:03:00,11:05:00,11:05:00,0.05,0.03333333333333333
CLCHSTR,11:21:00,11:23:00,11:25:00,11:26:00,0.06666666666666667,0.05
MANNGTR,11:30:00,11:31:00,11:32:00,11:33:00,0.03333333333333333,0.03333333333333333
IPSWICH,11:41:00,11:43:00,11:45:00,11:45:00,0.06666666666666667,0.03333333333333333
STWMRKT,11:53:00,11:54:00,11:55:00,11:55:00,0.03333333333333333,0.016666666666666666
DISS,12:05:00,12:06:00,12:07:00,12:08:00,0.03333333333333333,0.03333333333333333
NRCH,12:26:00,,12:24:00,,-0.03333333333333333,
LIVST,,11:30:00,,11:40:00,,0.16666666666666666
STFD,,11:37:00,11:46:00,11:48:00,,0.18333333333333332
CHLMSFD,11:58:00,12:00:00,12:07:00,12:08:00,0.15,0.13333333333333333
CLCHSTR,12:19:00,12:20:00,12:23:00,12:24:00,0.06666666666666667,0.06666666666666667
MANNGTR,12:28:00,12:29:00,12:30:00,12:32:00,0.03333333333333333,0.05
IPSWICH,12:40:00,12:41:00,12:40:00,12:41:00,0.0,0.0
STWMRKT,12:51:00,12:52:00,12:50:00,12:51:00,-0.016666666666666666,-0.016666666666666666
DISS,13:03:00,13:04:00,13:02:00,13:04:00,-0.016666666666666666,0.0
NRCH,13:23:00,,13:19:00,,-0.06666666666666667,
LIVST,,12:30:00,,12:30:00,,0.0
STFD,,12:37:00,12:36:00,12:37:00,,0.0
CHLMSFD,12:58:00,13:00:00,12:58:00,12:59:00,0.0,-0.016666666666666666
CLCHSTR,13:19:00,13:19:00,13:19:00,13:19:00,0.0,0.0
MANNGTR,13:28:00,13:28:00,13:26:00,13:28:00,-0.03333333333333333,0.0
IPSWICH,13:39:00,13:39:00,13:36:00,13:39:00,-0.05,0.0
STWMRKT,13:50:00,13:50:00,13:49:00,13:49:00,-0.016666666666666666,-0.016666666666666666
DISS,14:02:00,14:02:00,14:00:00,14:02:00,-0.03333333333333333,0.0
NRCH,14:21:00,,14:18:00,,-0.05,
LIVST,,13:30:00,,13:29:00,,-0.016666666666666666
STFD,,13:37:00,13:36:00,13:37:00,,0.0
CHLMSFD,13:58:00,14:00:00,13:59:00,14:00:00,0.016666666666666666,0.0
CLCHSTR,14:18:00,14:19:00,14:16:00,14:19:00,-0.03333333333333333,0.0
MANNGTR,14:27:00,14:28:00,14:26:00,14:28:00,-0.016666666666666666,0.0
IPSWICH,14:38:00,14:39:00,14:36:00,14:38:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,14:49:00,14:50:00,14:48:00,14:49:00,-0.016666666666666666,-0.016666666666666666
DISS,15:01:00,15:02:00,15:00:00,15:02:00,-0.016666666666666666,0.0
NRCH,15:20:00,,15:17:00,,-0.05,
LIVST,,14:30:00,,14:29:00,,-0.016666666666666666
STFD,,14:38:00,14:36:00,14:37:00,,-0.016666666666666666
CHLMSFD,14:59:00,15:01:00,14:59:00,15:01:00,0.0,0.0
CLCHSTR,15:19:00,15:20:00,15:16:00,15:19:00,-0.05,-0.016666666666666666
MANNGTR,15:28:00,15:28:00,15:27:00,15:28:00,-0.016666666666666666,0.0
IPSWICH,15:38:00,15:39:00,15:37:00,15:39:00,-0.016666666666666666,0.0
STWMRKT,15:49:00,15:50:00,15:49:00,15:49:00,0.0,-0.016666666666666666
DISS,16:01:00,16:02:00,16:01:00,16:02:00,0.0,0.0
NRCH,16:21:00,,16:18:00,,-0.05,
LIVST,,15:30:00,,15:31:00,,0.016666666666666666
CHLMSFD,15:57:00,15:58:00,16:02:00,16:04:00,0.08333333333333333,0.1
CLCHSTR,16:20:00,16:20:00,16:19:00,16:21:00,-0.016666666666666666,0.016666666666666666
MANNGTR,16:27:00,16:28:00,16:28:00,16:29:00,0.016666666666666666,0.016666666666666666
IPSWICH,16:38:00,16:40:00,16:38:00,16:39:00,0.0,-0.016666666666666666
STWMRKT,16:50:00,16:51:00,16:49:00,16:49:00,-0.016666666666666666,-0.03333333333333333
DISS,17:02:00,17:03:00,17:01:00,17:02:00,-0.016666666666666666,-0.016666666666666666
NRCH,17:21:00,,17:18:00,,-0.05,
LIVST,,16:30:00,,16:30:00,,0.0
CLCHSTR,17:16:00,17:17:00,17:17:00,17:18:00,0.016666666666666666,0.016666666666666666
MANNGTR,17:25:00,17:25:00,17:25:00,17:26:00,0.0,0.016666666666666666
IPSWICH,17:36:00,17:37:00,17:35:00,17:37:00,-0.016666666666666666,0.0
STWMRKT,17:48:00,17:49:00,17:47:00,17:48:00,-0.016666666666666666,-0.016666666666666666
DISS,18:00:00,18:01:00,18:00:00,18:02:00,0.0,0.016666666666666666
NRCH,18:21:00,,18:18:00,,-0.05,
LIVST,,17:30:00,,17:30:00,,0.0
CLCHSTR,,18:17:00,18:16:00,18:17:00,,0.0
MANNGTR,18:25:00,18:25:00,18:24:00,18:25:00,-0.016666666666666666,0.0
IPSWICH,18:36:00,18:40:00,18:34:00,18:39:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,18:50:00,18:51:00,18:49:00,18:50:00,-0.016666666666666666,-0.016666666666666666
DISS,19:02:00,19:03:00,19:02:00,19:03:00,0.0,0.0
NRCH,19:24:00,,19:19:00,,-0.08333333333333333,
LIVST,,18:30:00,,18:29:00,,-0.016666666666666666
CLCHSTR,,19:17:00,19:14:00,19:17:00,,0.0
MANNGTR,19:25:00,19:25:00,19:24:00,19:26:00,-0.016666666666666666,0.016666666666666666
IPSWICH,19:36:00,19:38:00,19:35:00,19:38:00,-0.016666666666666666,0.0
STWMRKT,19:48:00,19:49:00,19:50:00,19:50:00,0.03333333333333333,0.016666666666666666
DISS,20:00:00,20:01:00,20:01:00,20:02:00,0.016666666666666666,0.016666666666666666
NRCH,20:21:00,,20:18:00,,-0.05,
LIVST,,19:30:00,,19:29:00,,-0.016666666666666666
CLCHSTR,20:18:00,20:19:00,20:16:00,20:19:00,-0.03333333333333333,0.0
MANNGTR,20:27:00,20:27:00,20:26:00,20:28:00,-0.016666666666666666,0.016666666666666666
IPSWICH,20:38:00,20:40:00,20:37:00,20:39:00,-0.016666666666666666,-0.016666666666666666
STWMRKT,20:50:00,20:51:00,20:48:00,20:49:00,-0.03333333333333333,-0.03333333333333333
DISS,21:02:00,21:03:00,21:02:00,21:02:00,0.0,-0.016666666666666666
NRCH,21:21:00,,21:19:00,,-0.03333333333333333,
LIVST,,20:30:00,,20:30:00,,0.0
STFD,,20:37:00,20:42:00,20:43:00,,0.1
CHLMSFD,20:59:00,21:00:00,21:03:00,21:04:00,0.06666666666666667,0.06666666666666667
CLCHSTR,21:19:00,21:20:00,21:19:00,21:20:00,0.0,0.0
MANNGTR,21:28:00,21:29:00,21:27:00,21:29:00,-0.016666666666666666,0.0
IPSWICH,21:39:00,21:41:00,21:38:00,21:40:00,-0.016666666666666666,-0.016666666666666666
STWMRKT,21:51:00,21:52:00,21:51:00,21:51:00,0.0,-0.016666666666666666
DISS,22:03:00,22:04:00,22:03:00,22:04:00,0.0,0.0
NRCH,22:22:00,,22:21:00,,-0.016666666666666666,
LIVST,,21:30:00,,21:29:00,,-0.016666666666666666
STFD,,21:37:00,21:36:00,21:37:00,,0.0
CHLMSFD,21:58:00,21:59:00,21:58:00,21:59:00,0.0,0.0
CLCHSTR,22:18:00,22:20:00,22:19:00,22:20:00,0.016666666666666666,0.0
MANNGTR,22:27:00,22:29:00,22:27:00,22:29:00,0.0,0.0
IPSWICH,22:39:00,22:43:00,22:37:00,22:42:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,22:53:00,22:55:00,22:52:00,22:53:00,-0.016666666666666666,-0.03333333333333333
DISS,23:06:00,23:07:00,23:05:00,23:06:00,-0.016666666666666666,-0.016666666666666666
NRCH,23:26:00,,23:22:00,,-0.06666666666666667,
LIVST,,23:30:00,,23:30:00,,0.0
STFD,,23:38:00,23:36:00,23:38:00,,0.0
CHLMSFD,23:58:00,23:59:00,23:59:00,00:00:00,0.016666666666666666,-23.983333333333334
CLCHSTR,00:19:00,00:21:00,00:19:00,00:21:00,0.0,0.0
MANNGTR,00:28:00,00:29:00,00:28:00,00:29:00,0.0,0.0
IPSWICH,00:39:00,00:45:00,00:38:00,00:44:00,-0.016666666666666666,-0.016666666666666666
STWMRKT,00:56:00,00:57:00,00:54:00,00:55:00,-0.03333333333333333,-0.03333333333333333
DISS,01:08:00,01:10:00,01:14:00,01:14:00,0.1,0.06666666666666667
NRCH,01:34:00,,01:31:00,,-0.05,
LIVST,,22:30:00,,22:30:00,,0.0
STFD,,22:37:00,22:36:00,22:37:00,,0.0
CHLMSFD,23:01:00,23:02:00,22:59:00,23:01:00,-0.03333333333333333,-0.016666666666666666
CLCHSTR,23:20:00,23:21:00,23:18:00,23:20:00,-0.03333333333333333,-0.016666666666666666
MANNGTR,23:29:00,23:30:00,23:26:00,23:29:00,-0.05,-0.016666666666666666
IPSWICH,23:40:00,23:42:00,23:39:00,23:41:00,-0.016666666666666666,-0.016666666666666666
STWMRKT,23:52:00,23:53:00,23:51:00,23:51:00,-0.016666666666666666,-0.03333333333333333
DISS,00:07:00,00:09:00,00:10:00,00:11:00,0.05,0.03333333333333333
NRCH,00:27:00,,00:27:00,,0.0,
LIVST,,08:00:00,,07:59:00,,-0.016666666666666666
CLCHSTR,08:46:00,08:47:00,08:45:00,08:46:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,08:54:00,08:55:00,08:53:00,08:55:00,-0.016666666666666666,0.0
IPSWICH,09:05:00,09:06:00,09:05:00,09:06:00,0.0,0.0
DISS,09:25:00,09:26:00,09:26:00,09:27:00,0.016666666666666666,0.016666666666666666
NRCH,09:46:00,,09:43:00,,-0.05,
LIVST,,09:00:00,,08:59:00,,-0.016666666666666666
CLCHSTR,09:47:00,09:47:00,09:42:00,09:46:00,-0.08333333333333333,-0.016666666666666666
MANNGTR,09:55:00,09:56:00,09:53:00,09:56:00,-0.03333333333333333,0.0
IPSWICH,10:06:00,10:08:00,10:06:00,10:07:00,0.0,-0.016666666666666666
DISS,10:27:00,10:28:00,10:27:00,10:28:00,0.0,0.0
NRCH,10:49:00,,10:44:00,,-0.08333333333333333,
LIVST,,06:25:00,,06:24:00,,-0.016666666666666666
STFD,,06:32:00,06:31:00,06:32:00,,0.0
CHLMSFD,06:56:00,06:57:00,06:58:00,06:58:00,0.03333333333333333,0.016666666666666666
WITHAME,07:06:00,07:07:00,07:07:00,07:07:00,0.016666666666666666,0.0
CLCHSTR,07:18:00,07:19:00,07:19:00,07:20:00,0.016666666666666666,0.016666666666666666
MANNGTR,07:27:00,07:27:00,07:26:00,07:27:00,-0.016666666666666666,0.0
IPSWICH,07:38:00,07:40:00,07:36:00,07:39:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,07:50:00,07:51:00,07:49:00,07:50:00,-0.016666666666666666,-0.016666666666666666
DISS,08:02:00,08:03:00,08:01:00,08:03:00,-0.016666666666666666,0.0
NRCH,08:23:00,,08:18:00,,-0.08333333333333333,
LIVST,,07:00:00,,06:59:00,,-0.016666666666666666
SHENFLD,,07:21:00,07:19:00,07:20:00,,-0.016666666666666666
CLCHSTR,07:46:00,07:46:00,07:45:00,07:46:00,-0.016666666666666666,0.0
MANNGTR,07:55:00,07:55:00,07:54:00,07:55:00,-0.016666666666666666,0.0
IPSWICH,08:06:00,08:07:00,08:06:00,08:07:00,0.0,0.0
STWMRKT,08:17:00,08:18:00,08:18:00,08:18:00,0.016666666666666666,0.0
DISS,08:29:00,08:30:00,08:30:00,08:31:00,0.016666666666666666,0.016666666666666666
NRCH,08:51:00,,08:47:00,,-0.06666666666666667,
LIVST,,07:30:00,,07:29:00,,-0.016666666666666666
STFD,,07:37:00,07:36:00,07:37:00,,0.0
CHLMSFD,07:58:00,07:59:00,07:58:00,07:59:00,0.0,0.0
CLCHSTR,08:21:00,08:22:00,08:19:00,08:21:00,-0.03333333333333333,-0.016666666666666666
MANNGTR,08:30:00,08:30:00,08:28:00,08:29:00,-0.03333333333333333,-0.016666666666666666
IPSWICH,08:42:00,08:43:00,08:38:00,08:42:00,-0.06666666666666667,-0.016666666666666666
STWMRKT,08:54:00,08:55:00,08:53:00,08:53:00,-0.016666666666666666,-0.03333333333333333
DISS,09:06:00,09:07:00,09:04:00,09:06:00,-0.03333333333333333,-0.016666666666666666
NRCH,09:25:00,,09:22:00,,-0.05,
LIVST,,08:30:00,,08:29:00,,-0.016666666666666666
STFD,,08:37:00,08:36:00,08:37:00,,0.0
CHLMSFD,08:59:00,09:01:00,09:00:00,09:01:00,0.016666666666666666,0.0
CLCHSTR,09:20:00,09:21:00,09:18:00,09:21:00,-0.03333333333333333,0.0
MANNGTR,09:29:00,09:30:00,09:28:00,09:30:00,-0.016666666666666666,0.0
IPSWICH,09:41:00,09:43:00,09:39:00,09:42:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,09:53:00,09:53:00,09:52:00,09:52:00,-0.016666666666666666,-0.016666666666666666
DISS,10:04:00,10:05:00,10:11:00,10:12:00,0.11666666666666667,0.11666666666666667
NRCH,10:23:00,,10:28:00,,0.08333333333333333,
LIVST,,09:30:00,,09:29:00,,-0.016666666666666666
STFD,,09:37:00,09:36:00,09:37:00,,0.0
CHLMSFD,10:02:00,10:02:00,09:58:00,10:01:00,-0.06666666666666667,-0.016666666666666666
CLCHSTR,10:20:00,10:21:00,10:16:00,10:21:00,-0.06666666666666667,0.0
MANNGTR,10:28:00,10:29:00,10:28:00,10:30:00,0.0,0.016666666666666666
IPSWICH,10:40:00,10:43:00,10:38:00,10:42:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,10:53:00,10:54:00,10:52:00,10:53:00,-0.016666666666666666,-0.016666666666666666
DISS,11:05:00,11:05:00,11:04:00,11:05:00,-0.016666666666666666,0.0
NRCH,11:24:00,,11:20:00,,-0.06666666666666667,
LIVST,,10:30:00,,10:29:00,,-0.016666666666666666
STFD,,10:37:00,10:36:00,10:37:00,,0.0
CHLMSFD,11:02:00,11:03:00,11:01:00,11:03:00,-0.016666666666666666,0.0
CLCHSTR,11:21:00,11:23:00,11:20:00,11:22:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,11:30:00,11:31:00,11:29:00,11:31:00,-0.016666666666666666,0.0
IPSWICH,11:41:00,11:43:00,11:40:00,11:42:00,-0.016666666666666666,-0.016666666666666666
STWMRKT,11:53:00,11:54:00,11:52:00,11:53:00,-0.016666666666666666,-0.016666666666666666
DISS,12:05:00,12:06:00,12:05:00,12:06:00,0.0,0.0
NRCH,12:26:00,,12:22:00,,-0.06666666666666667,
LIVST,,11:30:00,,11:29:00,,-0.016666666666666666
STFD,,11:37:00,11:36:00,11:37:00,,0.0
CHLMSFD,11:58:00,12:00:00,12:01:00,12:02:00,0.05,0.03333333333333333
CLCHSTR,12:19:00,12:20:00,12:24:00,12:25:00,0.08333333333333333,0.08333333333333333
MANNGTR,12:28:00,12:29:00,12:31:00,12:33:00,0.05,0.06666666666666667
IPSWICH,12:40:00,12:41:00,12:41:00,12:42:00,0.016666666666666666,0.016666666666666666
STWMRKT,12:51:00,12:52:00,12:52:00,12:52:00,0.016666666666666666,0.0
DISS,13:03:00,13:04:00,13:04:00,13:05:00,0.016666666666666666,0.016666666666666666
NRCH,13:23:00,,13:20:00,,-0.05,
LIVST,,12:30:00,,12:30:00,,0.0
STFD,,12:37:00,12:36:00,12:38:00,,0.016666666666666666
CHLMSFD,12:58:00,13:00:00,12:59:00,13:03:00,0.016666666666666666,0.05
CLCHSTR,13:19:00,13:19:00,13:19:00,13:20:00,0.0,0.016666666666666666
MANNGTR,13:28:00,13:28:00,13:27:00,13:29:00,-0.016666666666666666,0.016666666666666666
IPSWICH,13:39:00,13:39:00,13:37:00,13:39:00,-0.03333333333333333,0.0
STWMRKT,13:50:00,13:50:00,13:49:00,13:49:00,-0.016666666666666666,-0.016666666666666666
DISS,14:02:00,14:02:00,14:00:00,14:02:00,-0.03333333333333333,0.0
NRCH,14:21:00,,14:17:00,,-0.06666666666666667,
LIVST,,13:30:00,,13:29:00,,-0.016666666666666666
STFD,,13:37:00,13:35:00,13:37:00,,0.0
CHLMSFD,13:58:00,14:00:00,13:57:00,13:59:00,-0.016666666666666666,-0.016666666666666666
CLCHSTR,14:18:00,14:19:00,14:15:00,14:18:00,-0.05,-0.016666666666666666
MANNGTR,14:27:00,14:28:00,14:25:00,14:28:00,-0.03333333333333333,0.0
IPSWICH,14:38:00,14:39:00,14:36:00,14:38:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,14:49:00,14:50:00,14:48:00,14:49:00,-0.016666666666666666,-0.016666666666666666
DISS,15:01:00,15:02:00,15:00:00,15:02:00,-0.016666666666666666,0.0
NRCH,15:20:00,,15:17:00,,-0.05,
LIVST,,14:30:00,,14:30:00,,0.0
STFD,,14:38:00,14:36:00,14:38:00,,0.0
CHLMSFD,14:59:00,15:01:00,14:59:00,15:01:00,0.0,0.0
CLCHSTR,15:19:00,15:20:00,15:17:00,15:19:00,-0.03333333333333333,-0.016666666666666666
MANNGTR,15:28:00,15:28:00,15:26:00,15:28:00,-0.03333333333333333,0.0
IPSWICH,15:38:00,15:39:00,15:36:00,15:38:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,15:49:00,15:50:00,15:48:00,15:48:00,-0.016666666666666666,-0.03333333333333333
DISS,16:01:00,16:02:00,16:00:00,16:01:00,-0.016666666666666666,-0.016666666666666666
NRCH,16:21:00,,16:17:00,,-0.06666666666666667,
LIVST,,15:30:00,,15:29:00,,-0.016666666666666666
CHLMSFD,15:57:00,15:58:00,16:00:00,16:01:00,0.05,0.05
CLCHSTR,16:20:00,16:20:00,16:16:00,16:19:00,-0.06666666666666667,-0.016666666666666666
MANNGTR,16:27:00,16:28:00,16:26:00,16:28:00,-0.016666666666666666,0.0
IPSWICH,16:38:00,16:40:00,16:36:00,16:39:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,16:50:00,16:51:00,16:49:00,16:50:00,-0.016666666666666666,-0.016666666666666666
DISS,17:02:00,17:03:00,17:01:00,17:02:00,-0.016666666666666666,-0.016666666666666666
NRCH,17:21:00,,,,,
LIVST,,16:30:00,,16:30:00,,0.0
CLCHSTR,17:16:00,17:17:00,,,,
MANNGTR,17:25:00,17:25:00,,,,
IPSWICH,17:36:00,17:37:00,,,,
STWMRKT,17:48:00,17:49:00,,,,
DISS,18:00:00,18:01:00,,,,
NRCH,18:21:00,,,,,
LIVST,,17:30:00,,,,
CLCHSTR,,18:17:00,,,,
MANNGTR,18:25:00,18:25:00,,,,
IPSWICH,18:36:00,18:40:00,,,,
STWMRKT,18:50:00,18:51:00,,,,
DISS,19:02:00,19:03:00,,,,
NRCH,19:24:00,,,,,
LIVST,,18:30:00,,,,
CLCHSTR,,19:17:00,,,,
MANNGTR,19:25:00,19:25:00,,,,
IPSWICH,19:36:00,19:38:00,,,,
STWMRKT,19:48:00,19:49:00,,,,
DISS,20:00:00,20:01:00,,,,
NRCH,20:21:00,,,,,
LIVST,,19:30:00,,,,
CLCHSTR,20:18:00,20:19:00,,,,
MANNGTR,20:27:00,20:27:00,,,,
IPSWICH,20:38:00,20:40:00,,,,
STWMRKT,20:50:00,20:51:00,,,,
DISS,21:02:00,21:03:00,,,,
NRCH,21:21:00,,,,,
LIVST,,20:30:00,,,,
STFD,,20:37:00,,,,
CHLMSFD,20:59:00,21:00:00,,,,
CLCHSTR,21:19:00,21:20:00,,,,
MANNGTR,21:28:00,21:29:00,,,,
IPSWICH,21:39:00,21:41:00,,,,
STWMRKT,21:51:00,21:52:00,,,,
DISS,22:03:00,22:04:00,,,,
NRCH,22:22:00,,,,,
LIVST,,21:30:00,,,,
STFD,,21:37:00,,,,
CHLMSFD,21:58:00,21:59:00,,,,
CLCHSTR,22:18:00,22:20:00,,,,
MANNGTR,22:27:00,22:29:00,,,,
IPSWICH,22:39:00,22:43:00,,,,
STWMRKT,22:53:00,22:55:00,,,,
DISS,23:06:00,23:07:00,,,,
NRCH,23:26:00,,,,,
LIVST,,23:30:00,,,,
STFD,,23:38:00,,,,
CHLMSFD,23:58:00,23:59:00,,,,
CLCHSTR,00:19:00,00:21:00,,,,
MANNGTR,00:28:00,00:29:00,,,,
IPSWICH,00:39:00,00:45:00,,,,
STWMRKT,00:56:00,00:57:00,,,,
DISS,01:08:00,01:10:00,,,,
NRCH,01:34:00,,,,,
LIVST,,22:30:00,,,,
STFD,,22:37:00,,,,
CHLMSFD,23:01:00,23:02:00,,,,
CLCHSTR,23:20:00,23:21:00,,,,
MANNGTR,23:29:00,23:30:00,,,,
IPSWICH,23:40:00,23:42:00,,,,
STWMRKT,23:52:00,23:53:00,,,,
DISS,00:07:00,00:09:00,,,,
NRCH,00:27:00,,,,,
LIVST,,06:25:00,,06:24:00,,-0.016666666666666666
STFD,,06:32:00,06:32:00,06:33:00,,0.016666666666666666
CHLMSFD,06:56:00,06:57:00,06:55:00,06:56:00,-0.016666666666666666,-0.016666666666666666
WITHAME,07:06:00,07:07:00,07:05:00,07:06:00,-0.016666666666666666,-0.016666666666666666
CLCHSTR,07:18:00,07:19:00,07:17:00,07:18:00,-0.016666666666666666,-0.016666666666666666
MANNGTR,07:27:00,07:27:00,07:25:00,07:27:00,-0.03333333333333333,0.0
IPSWICH,07:38:00,07:40:00,07:36:00,07:39:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,07:50:00,07:51:00,07:49:00,07:50:00,-0.016666666666666666,-0.016666666666666666
DISS,08:02:00,08:03:00,08:02:00,08:03:00,0.0,0.0
NRCH,08:23:00,,08:18:00,,-0.08333333333333333,
LIVST,,07:00:00,,06:59:00,,-0.016666666666666666
SHENFLD,,07:21:00,07:19:00,07:21:00,,0.0
CLCHSTR,07:46:00,07:46:00,07:45:00,07:46:00,-0.016666666666666666,0.0
MANNGTR,07:55:00,07:55:00,07:53:00,07:55:00,-0.03333333333333333,0.0
IPSWICH,08:06:00,08:07:00,08:04:00,08:07:00,-0.03333333333333333,0.0
STWMRKT,08:17:00,08:18:00,08:17:00,08:17:00,0.0,-0.016666666666666666
DISS,08:29:00,08:30:00,08:30:00,08:30:00,0.016666666666666666,0.0
NRCH,08:51:00,,08:47:00,,-0.06666666666666667,
LIVST,,07:30:00,,07:29:00,,-0.016666666666666666
STFD,,07:37:00,07:36:00,07:37:00,,0.0
CHLMSFD,07:58:00,07:59:00,08:00:00,08:01:00,0.03333333333333333,0.03333333333333333
CLCHSTR,08:21:00,08:22:00,08:21:00,08:22:00,0.0,0.0
MANNGTR,08:30:00,08:30:00,08:28:00,08:29:00,-0.03333333333333333,-0.016666666666666666
IPSWICH,08:42:00,08:43:00,08:39:00,08:42:00,-0.05,-0.016666666666666666
STWMRKT,08:54:00,08:55:00,08:53:00,08:53:00,-0.016666666666666666,-0.03333333333333333
DISS,09:06:00,09:07:00,09:05:00,09:06:00,-0.016666666666666666,-0.016666666666666666
NRCH,09:25:00,,09:22:00,,-0.05,
