tpl,pta,ptd,arr_at,dep_at,arr_delay,dep_delay
CHLMSFD,12:02:00,12:03:00,11:57:00,12:02:00,-0.08333333333333333,-0.016666666666666666
CLCHSTR,12:22:00,12:23:00,12:18:00,12:22:00,-0.06666666666666667,-0.016666666666666666
MANNGTR,12:31:00,12:31:00,12:29:00,12:30:00,-0.03333333333333333,-0.016666666666666666
IPSWICH,12:43:00,12:44:00,12:39:00,12:43:00,-0.06666666666666667,-0.016666666666666666
STWMRKT,12:55:00,12:55:00,12:53:00,12:53:00,-0.03333333333333333,-0.03333333333333333
DISS,13:07:00,13:08:00,13:06:00,13:08:00,-0.016666666666666666,0.0
NRCH,13:27:00,,13:36:00,,0.15,
LIVST,,12:30:00,,12:30:00,,0.0
STFD,,12:38:00,12:36:00,12:38:00,,0.0
CHLMSFD,13:02:00,13:03:00,12:59:00,13:02:00,-0.05,-0.016666666666666666
CLCHSTR,13:22:00,13:23:00,13:20:00,13:23:00,-0.03333333333333333,0.0
MANNGTR,13:31:00,13:31:00,13:31:00,13:32:00,0.0,0.016666666666666666
IPSWICH,13:43:00,13:44:00,13:41:00,13:43:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,13:55:00,13:55:00,13:53:00,13:54:00,-0.03333333333333333,-0.016666666666666666
DISS,14:07:00,14:08:00,14:05:00,14:07:00,-0.03333333333333333,-0.016666666666666666
NRCH,14:27:00,,14:22:00,,-0.08333333333333333,
LIVST,,13:30:00,,13:30:00,,0.0
STFD,,13:38:00,13:36:00,13:38:00,,0.0
CHLMSFD,14:02:00,14:03:00,13:57:00,14:03:00,-0.08333333333333333,0.0
CLCHSTR,14:22:00,14:23:00,14:18:00,14:23:00,-0.06666666666666667,0.0
MANNGTR,14:31:00,14:31:00,14:29:00,14:31:00,-0.03333333333333333,0.0
IPSWICH,14:43:00,14:44:00,14:40:00,14:44:00,-0.05,0.0
STWMRKT,14:55:00,14:55:00,14:54:00,14:54:00,-0.016666666666666666,-0.016666666666666666
DISS,15:07:00,15:08:00,15:05:00,15:07:00,-0.03333333333333333,-0.016666666666666666
NRCH,15:27:00,,15:23:00,,-0.06666666666666667,
LIVST,,14:00:00,,14:00:00,,0.0
CLCHSTR,14:46:00,14:47:00,14:44:00,14:46:00,-0.03333333333333333,-0.016666666666666666
MANNGTR,14:55:00,14:55:00,14:53:00,14:55:00,-0.03333333333333333,0.0
IPSWICH,15:07:00,15:08:00,15:04:00,15:07:00,-0.05,-0.016666666666666666
DISS,15:28:00,15:29:00,15:28:00,15:29:00,0.0,0.0
NRCH,15:48:00,,15:45:00,,-0.05,
LIVST,,14:30:00,,14:29:00,,-0.016666666666666666
STFD,,14:38:00,14:36:00,14:38:00,,0.0
CHLMSFD,15:02:00,15:03:00,15:00:00,15:03:00,-0.03333333333333333,0.0
CLCHSTR,15:22:00,15:23:00,15:21:00,15:23:00,-0.016666666666666666,0.0
MANNGTR,15:31:00,15:31:00,15:30:00,15:32:00,-0.016666666666666666,0.016666666666666666
IPSWICH,15:43:00,15:44:00,15:41:00,15:44:00,-0.03333333333333333,0.0
STWMRKT,15:55:00,15:55:00,15:54:00,15:55:00,-0.016666666666666666,0.0
DISS,16:07:00,16:08:00,16:07:00,16:08:00,0.0,0.0
NRCH,16:27:00,,16:24:00,,-0.05,
LIVST,,15:30:00,,15:29:00,,-0.016666666666666666
CHLMSFD,15:59:00,16:00:00,15:57:00,15:59:00,-0.03333333333333333,-0.016666666666666666
CLCHSTR,16:21:00,16:21:00,16:17:00,16:20:00,-0.06666666666666667,-0.016666666666666666
MANNGTR,16:29:00,16:29:00,16:28:00,16:29:00,-0.016666666666666666,0.0
IPSWICH,16:40:00,16:41:00,16:38:00,16:40:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,16:52:00,16:52:00,16:50:00,16:51:00,-0.03333333333333333,-0.016666666666666666
DISS,17:04:00,17:05:00,17:03:00,17:04:00,-0.016666666666666666,-0.016666666666666666
NRCH,17:24:00,,17:21:00,,-0.05,
LIVST,,16:30:00,,16:29:00,,-0.016666666666666666
CLCHSTR,17:16:00,17:17:00,17:17:00,17:18:00,0.016666666666666666,0.016666666666666666
IPSWICH,17:34:00,17:36:00,17:35:00,17:35:00,0.016666666666666666,-0.016666666666666666
STWMRKT,17:46:00,17:47:00,17:47:00,17:47:00,0.016666666666666666,0.0
DISS,17:59:00,18:00:00,18:00:00,18:01:00,0.016666666666666666,0.016666666666666666
NRCH,18:22:00,,18:19:00,,-0.05,
LIVST,,17:00:00,,17:01:00,,0.016666666666666666
IPSWICH,17:59:00,18:00:00,17:59:00,18:00:00,0.0,0.0
DISS,18:20:00,18:21:00,18:20:00,18:21:00,0.0,0.0
NRCH,18:42:00,,18:36:00,,-0.1,
LIVST,,17:02:00,,17:03:00,,0.016666666666666666
STFD,17:10:00,17:10:00,17:09:00,17:10:00,-0.016666666666666666,0.0
SHENFLD,17:26:00,17:26:00,17:25:00,17:26:00,-0.016666666666666666,0.0
CHLMSFD,17:35:00,17:36:00,17:34:00,17:36:00,-0.016666666666666666,0.0
WITHAME,17:46:00,17:46:00,17:46:00,17:46:00,0.0,0.0
MRKSTEY,17:54:00,17:54:00,17:53:00,17:54:00,-0.016666666666666666,0.0
CLCHSTR,18:01:00,18:01:00,17:59:00,18:00:00,-0.03333333333333333,-0.016666666666666666
MANNGTR,18:09:00,18:09:00,18:08:00,18:09:00,-0.016666666666666666,0.0
IPSWICH,18:20:00,18:25:00,18:20:00,18:25:00,0.0,0.0
STWMRKT,18:36:00,18:36:00,18:35:00,18:36:00,-0.016666666666666666,0.0
DISS,18:48:00,18:48:00,18:49:00,18:49:00,0.016666666666666666,0.016666666666666666
NRCH,19:09:00,,19:06:00,,-0.05,
LIVST,,17:30:00,,17:29:00,,-0.016666666666666666
MANNGTR,18:26:00,18:27:00,18:24:00,18:27:00,-0.03333333333333333,0.0
IPSWICH,18:37:00,18:39:00,18:36:00,18:38:00,-0.016666666666666666,-0.016666666666666666
STWMRKT,18:49:00,18:50:00,18:49:00,18:50:00,0.0,0.0
DISS,19:03:00,19:04:00,19:02:00,19:04:00,-0.016666666666666666,0.0
NRCH,19:25:00,,19:20:00,,-0.08333333333333333,
LIVST,,17:50:00,,17:50:00,,0.0
CLCHSTR,18:42:00,18:43:00,18:39:00,18:43:00,-0.05,0.0
MANNGTR,18:51:00,18:52:00,18:50:00,18:52:00,-0.016666666666666666,0.0
IPSWICH,19:02:00,19:04:00,19:02:00,19:03:00,0.0,-0.016666666666666666
STWMRKT,19:15:00,19:16:00,19:14:00,19:15:00,-0.016666666666666666,-0.016666666666666666
DISS,19:29:00,19:30:00,19:27:00,19:29:00,-0.03333333333333333,-0.016666666666666666
NRCH,19:50:00,,19:46:00,,-0.06666666666666667,
LIVST,,18:30:00,,18:29:00,,-0.016666666666666666
CLCHSTR,19:19:00,19:19:00,19:18:00,19:19:00,-0.016666666666666666,0.0
MANNGTR,19:28:00,19:28:00,19:26:00,19:28:00,-0.03333333333333333,0.0
IPSWICH,19:40:00,19:40:00,19:36:00,19:40:00,-0.06666666666666667,0.0
STWMRKT,19:52:00,19:52:00,19:49:00,19:50:00,-0.05,-0.03333333333333333
DISS,20:05:00,20:05:00,20:02:00,20:04:00,-0.05,-0.016666666666666666
NRCH,20:27:00,,20:20:00,,-0.11666666666666667,
LIVST,,19:02:00,,19:02:00,,0.0
CLCHSTR,19:47:00,19:48:00,19:43:00,19:46:00,-0.06666666666666667,-0.03333333333333333
MANNGTR,19:56:00,19:56:00,19:53:00,19:56:00,-0.05,0.0
IPSWICH,20:08:00,20:09:00,20:05:00,20:08:00,-0.05,-0.016666666666666666
STWMRKT,20:20:00,20:21:00,20:19:00,20:20:00,-0.016666666666666666,-0.016666666666666666
DISS,20:33:00,20:34:00,20:31:00,20:34:00,-0.03333333333333333,0.0
NRCH,20:53:00,,20:50:00,,-0.05,
LIVST,,19:30:00,,19:30:00,,0.0
CLCHSTR,20:19:00,20:20:00,20:18:00,20:20:00,-0.016666666666666666,0.0
